,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1
10,10,415,2808,3122,2158,1944,1436,3014,1543,1508,2949,420,1842,3128,1208,3540,3443,4277,530,3203,29,4737,1223,350,3586,560,1556,4799,2689,1546,3248,2842,1913,1156,71,2243,2984,4968,3753,825,4727,4594,4328,5023,4123,4854,4798,3423,4989,2403,2603,5044,2850,3317,3514,700,843,2493,4978,5192,2371,2433,670,3081,609,1189,2926,715,5118,4004,2211,2405,5063,2145,239,1131,4218,3069,4080,809,1283,632,5147,4817,2957,549,2076,3029,3185,2622,3716,3421,3763,4457,4322,4945,3285,5068,2941,4598
11,11,4774,2325,4070,3555,4164,689,3679,2088,4230,2570,3172,3410,587,4659,4443,87,2050,4961,2401,4466,3267,2416,324,2999,3873,4231,5087,4829,3213,4526,157,896,1897,4976,678,1956,3136,1228,3265,2377,3401,4669,3171,5186,1781,3838,3220,5170,4654,4371,2294,3064,2392,1425,670,4291,413,4832,3768,4978,3514,4817,2433,549,4218,3421,649,850,843,1131,1831,5044,5063,2405,2076,715,4004,5118,2145,609,4457,288,3716,3069,1303,4945,3185,3029,5147,4322,2622,632,1283,809,3763,4598,3285,5068,2941
12,12,2871,4267,2505,2360,3455,369,1637,1771,829,3667,4688,3654,3736,3390,4722,4547,3174,2378,301,4872,4749,3221,1733,2793,2578,1571,2810,1494,1818,4242,3929,895,713,2475,4577,466,1588,3428,4207,521,1545,1412,3659,540,3725,3089,4841,3188,1200,2292,3081,1189,2433,1388,2493,2294,2371,4513,549,670,439,843,1131,1381,239,4218,4080,2405,4817,3069,5118,5044,715,5063,632,4004,2957,2076,3430,4978,2211,4322,609,3421,3185,2622,3029,1283,3763,3716,5147,4457,4945,809,2145,4598,5068,2941,3285
13,13,3141,4939,2890,4323,107,4180,814,1031,2148,5301,392,5001,2658,4227,876,3818,1834,1894,1614,4335,4423,3143,2366,614,805,4533,3956,3462,246,750,1248,2670,3894,3244,854,740,437,3184,1113,3968,343,847,53,1370,5143,1378,1743,4695,383,2257,4735,852,3267,198,1663,3277,3421,1232,1277,1025,3430,2021,5170,5186,1315,4669,1766,2637,2936,1812,3145,1052,2413,1746,752,3092,1212,4275,4005,4538,1662,482,2941,5102,4011,3961,4573,3137,1479,1838,2351,1231,4883,4765,1163,367,2258,3934,1381
14,14,37,2437,3566,2929,251,3427,1731,4400,4677,2597,4618,233,4892,808,145,3454,1973,2412,988,805,4720,5075,1655,2288,5060,4435,1683,1809,278,4532,884,739,916,1362,3686,1324,4157,712,4510,45,3742,4624,4269,1968,1175,3374,1935,4252,5072,1287,288,3069,3111,4004,609,3185,4344,752,4322,1087,2076,1231,3029,5147,680,4457,2957,2059,3208,1303,1283,3664,2371,3421,2145,5102,3961,3716,4137,2622,4158,3763,3430,4765,4945,2258,2504,809,367,1740,2211,4883,3934,4598,5068,413,3285,1381,2941
15,15,2773,4686,3695,3964,2646,4368,5277,4987,3522,4977,2664,2640,3778,2586,626,2807,158,505,4235,2408,3539,2935,2355,1013,168,2053,4571,2131,227,3439,3683,4237,591,2250,1168,2806,4852,1321,4186,1955,3187,4209,2988,541,2375,2332,4473,486,2025,1746,1087,1845,1330,288,2021,1851,3121,2661,1232,3763,3745,3869,4735,2145,2381,1388,4137,3277,1231,3208,680,2038,4295,3580,3285,741,4011,5026,239,5102,2059,1983,367,413,2211,5068,3961,2941,4765,2371,752,1740,3934,2258,4883,3430,4158,2504,1381
16,16,4068,179,1832,3384,491,4906,3815,3404,3295,2424,1929,1112,4455,581,5235,3245,3363,312,346,3804,1288,2446,2660,5173,694,5299,3914,3457,465,1873,4955,1431,2711,1334,4148,1368,1169,2954,572,5206,546,525,3033,4006,4754,1092,2965,3992,3636,5269,3207,89,2512,1825,32,3974,3666,5068,5329,2162,1376,2300,5026,2032,4106,4341,2261,1347,2733,3684,1280,3117,288,3121,3111,4344,2941,3495,3588,2381,2268,4715,4158,2038,1950,2912,2059,3580,1425,218,5215,741,3318,1740,1088,3208,1303,2179,2504
17,17,945,830,299,2452,1396,2418,1941,5006,3328,2157,1920,3248,2289,3126,3444,1157,4047,521,3691,1341,2861,3456,4141,971,753,2345,4998,443,2511,3582,4303,4415,9,3782,4703,2645,5131,4444,3666,4547,3017,4077,2523,326,1938,1977,3310,1340,2963,3331,2926,4291,5192,649,239,3768,4832,850,1189,700,670,3514,843,2433,4080,5044,1831,2957,715,4978,4004,5118,4817,609,1131,4218,2405,549,2076,5063,3069,2145,5147,3029,3185,1283,809,4457,3716,632,4945,2622,3763,4322,3421,3285,5068,4598,2941
18,18,3125,1781,3070,4526,4556,3701,4231,620,4829,324,3265,2605,4652,1262,4325,1864,3432,4881,611,2401,678,770,4070,2833,2588,258,663,109,2706,4190,4659,1963,5228,4342,4232,2368,4612,4446,483,3543,381,1910,5013,87,3506,153,431,917,775,5215,1189,2294,4291,670,3768,4832,3514,4150,4817,4218,649,4978,4371,2433,549,843,413,850,1831,3421,1131,5063,5118,2405,5044,715,2076,4004,288,1303,609,3069,4457,3716,3185,2145,3029,4945,4322,5147,2622,632,1283,809,3763,4598,3285,5068,2941
19,19,4553,5298,5083,1499,5131,1340,1932,3444,2428,120,3272,4220,4077,4228,3002,3390,3667,1125,466,3582,5309,3328,150,2821,33,4144,1823,3089,2557,262,20,1784,4547,4981,4396,4872,1839,75,829,2589,4321,5158,1818,3242,2354,2796,134,1771,496,4951,649,3331,1831,2211,1303,2294,1189,850,5192,2433,4080,3514,4832,1131,2957,3768,670,843,5118,4218,4817,715,5044,4004,2405,2076,4978,609,5063,549,632,4457,3069,3185,4322,4945,3029,2145,3716,3763,5147,3421,2622,1283,809,4598,5068,3285,2941
20,20,134,1608,2915,1771,1470,4402,1258,3089,571,2322,2111,1243,1465,1652,1133,3242,2505,3850,4668,345,2,3582,2827,2414,2914,2567,2181,4288,4413,1453,1839,3002,280,2075,4211,85,2342,1693,1902,120,702,4000,1545,3872,4117,2270,4850,3659,1589,4312,649,3514,2211,1381,2294,1189,850,4951,3331,3247,3768,1131,2493,670,4832,2957,843,4817,715,5118,4080,5063,4004,4978,549,609,2076,632,2405,4218,5044,4457,3069,4945,3029,3716,3185,5147,4322,3763,1283,2145,2622,809,3421,4598,5068,3285,2941
21,21,2132,2895,4102,2111,280,2598,2407,3178,1828,3259,2075,3103,1942,3372,5320,3618,4650,2793,94,4000,1133,5100,1548,2657,1652,1724,2311,1883,134,4428,4729,702,1726,4544,2030,2378,787,719,725,1325,3642,2306,3776,1568,4849,3531,2927,4500,5191,3092,2046,1788,1812,1662,1005,2219,4336,2151,3277,5186,3362,5170,4675,4312,2637,3869,2351,3649,4295,1388,1448,2493,1163,1766,3137,1838,4669,2371,4573,1479,4538,143,1232,3961,1983,2021,1231,2211,4011,2936,752,5102,367,4765,2258,4883,3430,3934,1381
22,22,1047,1734,1592,3759,3333,2027,1941,481,1491,0,2848,2418,4998,2426,5325,3392,3578,2859,4051,935,182,4077,1938,2963,3126,5242,1787,3272,2393,1802,2645,4321,3666,3157,4788,2319,2242,3192,2059,5046,4256,3782,1063,4999,1180,2915,443,5182,1396,2926,850,4291,3247,1189,2433,649,700,3331,843,3737,670,3514,5044,715,1131,4832,609,3768,4004,1831,5118,4817,2076,4978,4080,2405,4218,549,2957,4457,3029,5147,2145,5063,809,632,1283,3069,4945,3185,3716,3763,4322,2622,3285,5068,3421,4598,2941
23,23,250,3063,2697,985,3951,5143,4423,1490,1227,2306,3596,4053,1164,4902,2922,343,2524,4009,397,659,4939,1677,1116,213,1384,4544,3075,2890,94,1705,4090,3006,4234,3801,1476,2670,1031,13,3103,4695,4124,2019,1976,750,805,3531,4830,4157,5209,2257,2377,1052,852,1983,4275,2710,4675,198,2305,3267,3277,2926,2637,5186,1221,4573,482,2021,4499,1662,5170,1838,3092,4669,2351,4538,1232,2219,2371,1812,1766,1448,1479,1231,3961,3137,4011,2936,5102,1163,752,3430,4883,4765,2211,367,2258,3934,1381
24,24,4246,427,3124,1615,200,2427,4718,4111,3182,504,2806,1964,3824,3177,2094,1747,2762,3496,1366,102,5288,1236,607,5049,2440,2715,796,616,861,4942,1791,4708,4546,2962,2838,1978,2749,2000,988,199,1813,4518,4543,1096,3483,7,295,1170,2717,2076,4371,3287,439,3962,1058,4004,3588,843,1131,741,3185,5326,4590,5026,3664,218,1425,2392,609,4978,4945,3207,4322,2038,3029,2504,3684,2179,5147,5044,4457,632,5215,1283,413,3208,4158,3580,1740,4598,809,2145,1088,288,3763,1303,3285,5068,2941
25,25,4589,4084,891,349,2485,5181,1822,3769,4537,3279,3118,2074,2431,3301,1036,27,4647,1846,447,3829,63,2462,824,1813,4094,4651,1554,4542,3170,3732,97,1366,204,3060,2811,1541,3751,1202,5136,846,2591,3258,4489,3674,2060,3543,1547,2220,1148,5192,1189,649,5215,3207,1425,2466,4817,3876,4371,3069,3664,2433,2294,4978,3684,843,3716,3580,1088,5118,850,715,2405,4158,2622,1303,3185,413,1131,4004,2076,1740,5044,609,4945,4322,3029,288,632,1283,2145,5147,4457,809,4598,3763,3285,5068,2941
26,26,4086,3412,3458,2599,4519,4493,2376,4540,3984,3908,4960,3001,3896,1725,4126,2943,5012,2276,3101,4785,3748,492,4198,2295,2629,3031,3876,2853,5332,393,2008,1948,879,2481,5133,970,4886,1542,4819,201,2767,2955,536,101,3834,533,1856,869,1622,4961,1788,3160,2637,3136,4336,1315,1745,1983,2733,3208,2960,1212,3111,5186,4275,896,1505,2377,3267,3277,5170,3092,1025,1766,1746,3137,2021,1662,1163,2351,4573,1232,4538,1479,4669,2936,1231,1838,3961,4011,752,3430,5102,367,4765,4883,2258,3934,1381
27,27,3301,2284,502,48,349,1148,1822,4395,5232,4537,3407,679,4589,4084,4489,2541,1202,1036,3769,25,97,506,3170,3396,2548,63,4542,2074,2616,1846,824,3543,3590,5181,3706,891,1554,1000,447,1547,324,4181,3453,3279,5037,3223,426,1911,2831,1189,3876,2466,4590,2294,3580,1831,1425,549,5192,4137,1088,4817,147,5063,843,3684,850,1740,2433,5044,3069,2405,1131,4158,5118,1303,715,3716,4004,3185,2622,2076,2145,288,609,4322,3029,4945,413,4457,632,5147,1283,809,3763,4598,5068,3285,2941
28,28,1365,4525,4751,1453,1220,2075,4953,702,1258,1619,4998,653,2450,2086,5325,3379,1961,766,5076,1861,3225,3997,85,4500,4574,2704,2915,1340,3753,1073,983,2645,3273,512,2681,1590,4481,1184,1580,5020,2895,3372,2791,3653,1652,3248,1133,1071,1260,1189,4867,4978,715,366,4058,4675,5118,4004,3081,1131,3737,239,1539,3473,4074,2305,2405,632,2145,1448,809,2076,1283,5147,4817,2850,4218,3029,2371,3763,5063,4457,549,3069,3185,2493,4080,4322,2957,2926,4945,3716,2622,3285,2211,5068,2941,4598,3421
29,29,1436,71,3540,1944,4727,3122,1458,3014,4123,3586,415,2243,4328,3128,530,350,1543,4989,1913,2949,1404,2158,3423,3203,4737,2689,943,1156,1208,1842,1556,1508,420,184,10,2808,560,3227,4341,4594,4838,1546,1223,4220,1323,3443,5056,4021,5035,1844,2433,4675,1448,5044,1189,3081,5192,843,632,5118,2850,5063,715,609,670,2405,3069,1131,4080,3317,4978,2926,4218,2493,4004,1283,4817,2957,3185,2076,2371,2622,5147,2145,4322,549,809,3763,3029,3716,239,4457,2211,3421,4945,5068,2941,3285,4598
30,30,2202,1469,5227,226,1413,1165,4308,74,1993,4097,3764,4222,2463,1954,2923,654,3442,2281,4215,1966,726,2977,2925,4255,4170,2124,2321,1509,3231,4844,2909,3508,993,1240,2002,4107,2549,4384,819,4495,621,1160,5295,883,1197,2116,542,3983,3916,4746,3514,670,4817,549,1740,4291,1831,3768,4218,1088,3421,1131,4832,4978,5063,1425,715,2076,850,3716,218,4004,649,843,609,5118,5044,2405,2392,288,3069,4945,5215,4457,2145,2622,3185,3029,5147,4322,632,809,1283,1303,3763,4598,3285,5068,2941
31,31,5072,1648,479,4879,1807,441,4684,3554,4059,3173,2029,4134,4407,3598,3051,5043,3129,3529,4435,1348,3545,703,51,191,1504,1931,5196,3947,3634,7,4742,4065,3156,2627,3771,4120,4437,4890,5331,495,5091,1875,928,3358,3931,3692,1078,2304,1089,3768,2433,3588,4371,2179,4291,3580,4004,5118,4832,715,2672,1088,2076,4978,1425,850,649,218,1131,5063,609,1616,2405,3716,1831,3421,2392,4945,5044,3029,4457,3069,3185,5147,2145,5215,2622,809,413,4322,1283,632,288,1303,3763,3285,4598,5068,2941
32,32,4574,983,4346,4251,782,1950,766,4751,3225,3997,2075,1071,685,28,2300,3753,2895,2651,3168,1590,5191,282,4968,5020,1184,5320,238,2816,3211,2450,5238,3259,2512,1220,2415,4849,1453,2091,2086,1239,4953,702,3414,3372,224,1156,4392,1676,5023,4247,3763,3934,3362,5064,5147,5063,2292,1539,2140,2219,3069,1388,2636,2145,3081,3029,4058,2076,3346,2626,239,4322,3185,1381,4817,4218,4457,5068,549,4867,4074,2305,3473,4675,2622,2941,3285,3716,4080,4945,1448,2850,2957,2926,2371,4598,2493,2211,3421
33,33,2760,1932,262,4144,4871,4303,2183,2796,3423,5230,1499,4853,1292,1125,3149,2176,4302,3328,1657,601,2329,1897,2231,3582,3927,2093,4982,326,760,4652,1920,258,758,1477,5035,865,678,1211,3220,1746,386,496,2523,4524,4220,2077,4547,3719,1823,288,3247,1303,700,3331,4832,2957,1189,649,2294,5192,1831,3514,850,3768,2433,670,1131,4218,843,4817,5044,4978,549,5118,3421,2405,715,5063,4004,2076,609,3069,632,3185,4457,2145,4322,3029,3716,2622,5147,4945,1283,3763,809,4598,3285,5068,2941
34,34,2190,767,3923,4839,3387,2128,5278,111,3290,3882,4648,2185,2621,1186,1624,3852,1780,2049,2214,399,932,193,1192,3424,1104,3400,2056,5265,2010,1198,3750,2532,826,2244,2409,599,3441,3635,987,2323,1399,1753,4299,3354,2748,604,2938,2756,2638,605,178,4123,3383,1831,4322,5305,3104,3426,2622,4838,2392,1088,4328,3117,3318,1283,1616,2998,2262,1974,4344,3208,4251,3763,4106,632,3974,3588,4715,4341,3285,4042,3326,2881,89,2912,2512,288,4598,1425,5215,1950,2162,413,2179,218,5068,1303,2941
35,35,2706,5232,4325,1781,1864,2401,324,989,381,4774,104,678,4007,431,449,483,4446,4929,386,502,1912,3125,3543,2052,1822,4556,1846,4913,2309,4659,4652,2231,917,4612,4199,81,1910,3706,1148,3361,18,2325,153,468,2284,770,1930,1262,4537,3421,3684,4371,2294,670,1088,4218,4817,1740,2392,4158,1831,2433,4978,549,649,5215,1425,5063,850,843,1131,413,5118,2405,5044,2076,3716,715,3069,4004,288,4457,3185,2145,609,4945,4322,2622,632,3029,1303,5147,1283,809,3763,4598,3285,5068,2941
36,36,72,1585,278,614,1659,2896,1506,4570,805,1480,45,4157,768,1438,2235,3791,3741,1304,1705,323,4630,4505,1116,750,3855,1642,3009,246,779,3143,4720,3254,776,3670,4939,665,3599,2935,2804,5193,2615,520,1188,2144,3454,1609,5125,4662,1834,2151,4404,3464,4336,1662,2377,1838,3339,5186,1788,896,3092,2710,1448,1845,5170,4295,2371,4573,1163,2661,3267,1273,4538,2351,1812,3137,1766,2637,1231,2021,680,1746,4669,1983,1479,3277,1232,2936,4011,3961,5102,367,752,2258,4765,4883,3430,3934,1381
37,37,14,4677,1324,3566,884,916,233,5072,4618,2437,5060,1013,2597,739,3,45,2412,1809,162,805,3427,4435,4400,2496,3800,2670,2131,1362,251,2684,808,4505,3184,2288,4059,3617,4879,278,321,4510,2256,1245,3483,296,3516,2929,5034,3742,441,4011,2179,1087,4573,2733,1479,2351,4322,3664,3580,3716,5215,4344,3111,1746,4945,752,680,2622,1231,1283,3430,2371,3421,288,2145,4158,4137,5102,1163,809,3208,2211,2059,1303,3763,3961,1740,2504,4765,4598,367,4883,2258,3285,5068,3934,413,2941,1381
38,38,1643,1807,5039,308,3374,3036,2969,2089,1324,4120,2238,138,3529,4943,2437,4189,332,191,2630,3173,2971,2057,2779,664,5284,300,3805,4315,2113,3077,3545,4065,1901,4391,2942,5061,4187,405,4618,916,3334,2149,1018,5163,455,4134,3493,4671,337,3318,4978,4715,2936,2912,2211,1088,1831,2392,1838,3588,1163,5063,752,1425,4341,3029,5044,3430,4883,4945,4765,3069,218,3716,4457,367,2179,3185,3208,5147,5215,2622,2145,2258,1283,809,288,4322,413,3421,3934,632,3763,1381,4598,3285,1303,5068,2941
39,39,3048,4526,3512,3432,1253,4549,792,5228,5203,4310,2833,2585,1194,4356,4178,1446,3171,394,256,215,4903,611,87,4878,1713,4922,4759,339,5079,3206,4449,3556,775,4704,617,4464,4142,4443,3821,2858,3766,921,3070,3625,275,2666,459,4829,411,3684,4817,4590,4218,4832,3865,3514,5215,2392,843,4291,2672,2433,3421,850,1616,4004,649,5044,1425,147,715,1131,2076,2405,609,5118,1831,2145,5063,3716,3069,5147,4945,4457,3029,3185,2622,809,4322,1283,288,413,632,1303,3763,3285,4598,5068,2941
40,40,1148,2706,4537,5156,5181,2074,2082,5119,3407,174,127,2616,1582,431,3144,2548,47,5260,1547,1211,2462,3538,1498,3967,3543,4652,63,3829,4446,4604,1544,1415,4342,27,3170,4032,1252,3223,4881,5232,447,4483,3396,4893,3706,792,276,5245,607,3684,2672,649,147,670,1425,3580,4817,2294,5063,1088,4137,5192,1831,2433,549,4978,850,843,1740,5118,2405,1131,3069,4158,5044,715,4004,413,3716,2076,3185,2622,288,609,1303,3029,4945,4322,4457,2145,632,5147,1283,809,3763,4598,3285,5068,2941
41,41,3708,1529,4006,4600,1887,1301,2569,1244,546,748,2539,3033,2663,192,2201,5299,5184,535,2213,4104,270,2981,4899,4674,4128,1092,1927,2802,2721,1431,1274,1664,536,4719,2065,4819,3031,4480,408,1856,5332,1971,101,2513,163,2295,4506,1460,1400,4042,2377,1505,1231,3578,1273,2381,367,3267,4295,1740,1232,2021,741,3277,2859,3869,896,1845,4735,2661,4341,2936,4669,1746,3464,1280,4715,4467,4344,4011,2733,2258,3318,4765,3961,680,5102,2059,3111,1983,2179,4883,3934,3666,752,3208,3430,2504,1381
42,42,1572,4590,126,1976,2110,280,3892,4928,1722,3826,402,1268,1820,1548,2042,3835,1879,725,512,3883,2152,1105,4100,2795,1026,2030,1455,3383,5033,2330,66,2775,2414,1652,499,3372,3830,1427,407,3740,3644,1243,3047,4668,1514,4000,1309,1674,3728,781,1118,4336,1745,3267,3277,1663,4088,2884,1662,482,1212,1788,2377,1232,2413,852,3961,5186,1025,198,5170,1766,2021,1812,3137,5102,2637,3430,752,4275,4669,1231,1479,4011,1315,4883,2351,3092,4538,4005,2936,4573,1163,4765,367,1838,2258,3934,1381
43,43,1957,4495,2482,3232,2281,3398,543,542,2198,1621,3797,1708,372,3981,1768,2972,2526,5061,1194,3910,1348,2048,1078,2304,1242,4742,1807,3352,889,3529,3575,2551,4061,2089,3807,3860,3374,798,2779,1085,3231,2107,1604,1643,4413,2761,3036,285,2536,2268,715,2076,3208,3421,3684,5118,89,4832,850,2881,4004,843,4137,4978,1740,4158,3716,218,649,2405,2912,609,3588,4945,2179,3069,1088,4457,5044,2392,413,2622,2145,4322,3185,3029,5147,5215,1425,632,288,1283,809,3763,4598,3285,1303,5068,2941
44,44,1693,1266,3042,2827,3546,868,4999,3945,4413,3416,2809,2346,5255,3433,383,2969,3011,337,3775,2394,52,578,5301,4525,3809,4558,3550,4394,3023,2289,2242,2186,4528,3299,935,3517,437,296,575,5039,3532,154,3016,1472,3589,1849,1117,2169,2997,413,843,2305,366,2170,3934,3247,1131,1381,2258,1163,4817,5118,4004,4080,715,3768,609,4832,1831,2076,2926,4218,5044,4978,2405,549,1303,2957,2211,4457,3029,5063,2145,4945,5147,632,3185,3716,3069,4322,809,3763,1283,2622,3421,3285,4598,5068,2941
45,45,278,4570,4505,2131,808,4720,884,805,4630,2412,1655,1362,4157,3365,233,3738,3368,1013,4677,1321,2235,626,162,37,4638,750,4653,4977,1797,916,1506,3201,1324,3351,3615,2664,3427,2441,2670,3184,1188,2896,4128,2496,5315,4939,4209,4276,4866,4275,1025,3092,3111,4295,3666,1273,3208,2661,5170,3464,1845,1662,2059,1212,5186,3267,1838,1812,2637,1766,2371,4669,4538,2211,2936,2021,1983,4573,680,3137,3277,1746,2351,1232,2504,1479,1163,1231,4011,752,5102,3961,3430,367,4765,2258,4883,3934,1381
46,46,755,5220,5012,4126,2018,2382,913,26,4730,2900,3896,4785,2767,2276,1533,3748,3912,492,1103,3908,1943,1821,2792,2599,1836,4054,3458,5282,3425,2832,4967,2376,5003,1988,716,3412,4810,1853,1998,3876,107,4180,1614,3198,4540,5193,180,1399,1485,143,4042,2880,3277,3649,2710,2733,198,5186,1662,2960,2021,3267,1025,1118,4275,4005,1745,4341,2377,1766,3961,1231,1212,1505,1746,5170,3430,1277,4573,1479,5102,1232,3137,2351,4669,4011,752,3092,4538,1315,1163,2936,4883,4765,1838,367,2258,3934,1381
